index,tweet,humor,prejudice_woman,prejudice_lgbtiq,prejudice_inmigrant_race,gordofobia,mean_prejudice
72157,Mi celular tiene una aplicación que te hace ver todo gordo y feo. —¿En serio? ¿Cómo se llama? —Cámara.,1,0,0,0,1,3.0
68084,"En esta vida me tocó tener mala suerte, espero que en la proxima toque ser flaco.",1,0,0,0,1,2.8
69089,"Tu mamá es taaan taan obesa, que cuando pasa frente a la TV... te pierdes como 5 comerciales.  fb  ",1,0,0,0,1,3.6
69190,"Mi tía me dijo: 
- tengo memoria de Elefante. 
le respondí:- Buenisimo, te hace juego con la cara y el cuerpo",1,0,0,0,1,3.4
70474,"- Mamá, en el colegio me dicen gorda.
- ¡Ay Marrana!, no les hagas caso.
- Mariana, mamá, ¡Mariana!",1,0,0,0,1,3.0
44398, Esdegordos   jalar la sábana hasta acercarte el control de la TV.,1,0,0,0,1,3.0
71587,—¡Cuidado que los bombones se derriten al sol! — ¡Gracias por el piropo! — JAJA ¿Que piropo? ¡Que te comas los bombones en tu casa gorda!,1,0,0,0,1,3.0
71875,"– Amiga, si quieres adelgazar, te recomiendo 10 manzanas diarias.  –¿Crudas? ¿Verdes o rojas?  – Corriendo gorda, corriendo.",1,0,0,0,1,2.8
71918,"-¿Por qué le pegó a mi hijo? 
-¡Por maleducado, me llamó gorda! 
-¿Y cree que pegándole usted va a adelgazar o que?",1,0,0,0,1,3.0
61941,"— Mesero, la cuenta por favor.
— Claro, son $2,300.
— Uy, ¿pues qué rompí?
— Pues la dieta ¡Pinche gordo! Tragaste un chingo.",1,0,0,0,1,3.0
72575,"Esta chingadera no sirve, se descompuso. 

– Yo, cada que me subo a una báscula.",1,0,0,0,1,2.0
72790,"-- Amor ¿Estoy guapa?  — Tienes el cuerpo de un Dios  — ¿Ah, si? ¿El de cuál?  — El de Buda",1,0,0,0,1,3.0
